#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-09-28T14:34:31 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
# https://vizier.u-strasbg.fr/viz-bin/VizieR-4
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ615326603ea099	
#INFO	-out.max=99999	
#INFO	queryParameters=21	
#-oc.form=dec
#-out.max=99999
#-order=I
#-nav=cat:IV/22&tab:{IV/22/index}&key:source=IV/22/index&HTTPPRM:&&-ref=VIZ615326603ea099&-out.max=99999&-out.form=HTML Table&-order=I&-oc.form=sexa&-out.src=IV/22/index&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out=FK5&-out=RAJ2000&-out=pmRA&-out=DEJ2000&-out=pmDE&-out=Vmag&-out=Sp&-out=DM&-out=SAO&-out=HD&-out=name&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-out.src=IV/22/index
#-source=IV/22/index
#-out=FK5
#-out=RAJ2000
#-out=pmRA
#-out=DEJ2000
#-out=pmDE
#-out=Vmag
#-out=Sp
#-out=DM
#-out=SAO
#-out=HD
#-out=name
#

#RESOURCE=yCat_4022
#Name: IV/22
#Title: FK5 - SAO - HD - Common Name Cross Index (Smith 1996)
#Table	IV_22_index:
#Name: IV/22/index
#Title: The catalog
#Column	FK5	(I4)	The FK5 number (Cat. I/149, I/175) (2)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A12)	Right Ascension hours (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	pmRA	(F7.3)	Proper motion in right ascension	[ucd=pos.pm;pos.eq.ra]
#Column	DEJ2000	(A12)	Declination degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	pmDE	(F7.2)	Proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	Vmag	(F5.2)	Visual magnitude	[ucd=phot.mag;em.opt.V]
#Column	Sp	(A2)	Spectral type	[ucd=src.spType]
#Column	DM	(a10)	Durchmusterung Identification (1)	[ucd=meta.id]
#Column	SAO	(I6)	? SAO number (Cat. I/131) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	HD	(I6)	? HD number (Cat. III/135) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	name	(a20)	Common name or variable name	[ucd=meta.id]
FK5|RAJ2000|pmRA|DEJ2000|pmDE|Vmag|Sp|DM|SAO|HD|name
 393|10 27 52.727| -0.169|-58 44 22.10|  -0.03| 3.82|F0|CP-58 2227|238085| 90853|
 390|10 27 53.009| -0.985|+36 42 26.06| -10.13| 4.21|K0|BD+37 2080| 62053| 90537|
1270|10 29 28.704| -0.318|-02 44 20.84|  -1.38| 5.21|B9|SD-02 3155|137600| 90882|
1271|10 29 53.694|  0.035|+28 34 52.36|  -0.10| 6.90|K0|BD+29 2057| 81381| 90861|
 394|10 30 37.585| -2.097|+55 58 50.01|  -3.04| 4.84|F5|BD+56 1459| 27670| 90839|
1663|10 30 49.267| -0.152|-86 05 26.35|   0.10| 6.67|A0|CP-85  245|258586| 92683|
 911|10 31 04.565| -4.286|+82 33 31.09|   3.14| 5.26|F2|BD+83  297|  1714| 90089|
 397|10 32 01.443| -0.270|-61 41 07.33|   0.92| 3.32|B5|CP-61 1704|251006| 91465|
1272|10 32 11.774| -0.286|+14 08 14.02|   2.41| 5.46|M0|BD+14 2255| 99172| 91232|
 396|10 32 48.671| -0.044|+09 18 23.66|  -0.27| 3.85|B0|BD+10 2166|118355| 91316|
1273|10 32 56.894| -0.182|-47 00 12.29|   0.31| 5.02|K0|CD-46 6205|222136| 91504|
 399|10 34 00.893| -0.058|-23 44 42.64|   2.13| 5.08|K2|SD-22 2946|178979| 91550|
 395|10 35 05.525| -0.823|+75 42 46.55|  -0.30| 4.84|G5|BD+76  393|  7164| 91190|
 398|10 35 09.698|  0.826|+57 04 57.56|   3.92| 5.16|F0|BD+57 1277| 27695| 91480|
 401|10 35 28.071| -1.422|-78 36 27.97|   1.41| 4.11|M0|CP-77  622|256731| 92305|
1274|10 36 32.382|  1.825|-12 13 48.58| -67.28| 5.70|F8|BD-11 2918|156095| 91889|
1275|10 38 43.215|  0.002|+31 58 34.37|   0.77| 4.71|G0|BD+32 2061| 62173| 92125|
 402|10 39 18.399| -0.220|-55 36 11.82|   0.50| 4.28|G0|CP-54 3915|238309| 92449|
 404|10 41 24.187| -0.913|-01 44 29.55| -12.07| 6.26|K0|BD-00 2364|137728| 92588|
1277|10 42 43.197| -0.228|-32 42 56.57|   0.16| 5.64|A0|CD-32 7572|201665| 92845|
 406|10 42 57.368| -0.348|-64 23 40.08|   1.00| 2.76|B0|CP-63 1599|251083| 93030|
 405|10 43 24.951| -0.844|+23 11 18.24|   0.89| 5.08|A2|BD+23 2253| 81490| 92825|
1276|10 43 32.894| -2.589|+46 12 13.97|  -6.61| 5.18|F0|BD+46 1657| 43444| 92787|
 411|10 45 46.821| -1.984|-80 32 24.66|   0.81| 4.45|B3|CP-79  556|258593| 93845|
 407|10 45 51.899| -0.177|+30 40 56.23|  -3.70| 5.24|B9|BD+31 2180| 62236| 93152|
1278|10 46 05.679| -0.052|+06 22 23.40|  -3.62| 6.37|K0|BD+07 2356|118483| 93244|
1279|10 46 24.545|  0.687|+18 53 29.49|  -3.79| 5.49|K0|BD+19 2371| 99281| 93257|
1280|10 46 42.747| -1.241|-26 02 53.27|   5.40| 6.71|K0|CD-25 8237|179217| 93410|
 409|10 49 15.432| -0.022|+10 32 42.67|  -2.49| 5.34|A0|BD+11 2283| 99305| 93702|
 410|10 49 37.494|  0.654|-16 11 37.26|  20.02| 3.11|K0|BD-15 3138|156256| 93813|
1281|10 50 18.058| -0.030|-08 53 52.06|  -1.50| 5.79|A2|SD-08 3018|137823| 93903|
 412|10 53 18.700|  0.700|+34 12 53.54| -27.85| 3.83|K0|BD+34 2172| 62297| 94264|
 414|10 56 43.060|  0.645|-37 08 16.25| -12.76| 4.60|K0|CD-36 6808|201927| 94890|
1664|10 59 13.777| -4.801|-84 35 37.91|  -0.49| 6.19|A0|CP-83  386|258600| 96124|
1282|10 59 27.972| -2.780|+40 25 48.98|   5.72| 5.05|G0|BD+41 2147| 43557| 95128|
1283|10 59 46.470| -3.233|-18 17 55.65|  13.01| 4.08|K0|BD-17 3281|156375| 95272|ALKES
 413|10 59 56.776| -2.256|+77 46 12.45|  -2.25| 6.20|G5|BD+78  367|  7255| 94860|
 415|11 00 09.277|  0.249|-42 13 33.35|   0.31| 4.39|A2|CD-41 6276|222487| 95370|
1284|11 00 33.649|  0.096|+03 37 02.85|  -1.57| 4.84|K0|BD+04 2407|118610| 95345|
 416|11 01 50.482|  0.988|+56 22 56.65|   3.40| 2.37|A0|BD+57 1302| 27876| 95418|MERAK
1285|11 02 36.791| -0.146|-03 30 45.63|  -1.61| 6.80|G5|SD-02 3270|137952| 95695|
 417|11 03 43.666| -1.675|+61 45 03.22|  -6.65| 1.79|K0|BD+62 1161| 15384| 95689|DUBHE
 418|11 05 01.035| -2.291|+07 20 09.58|  -4.66| 4.63|F0|BD+08 2455|118648| 96097|
 419|11 05 19.918| -1.410|-27 17 36.96|  -0.42| 4.94|F5|CD-26 8338|179514| 96202|
1286|11 05 33.985|  0.087|-11 05 20.33|  -7.90| 6.09|A3|BD-10 3190|156448| 96220|
1288|11 06 49.863| -0.540|-70 52 40.58|   0.01| 5.57|B3|CP-70 1305|256800| 96706|
1287|11 06 54.211| -2.553|+01 57 19.74|  -8.62| 5.52|G5|BD+02 2387|118668| 96436|
1289|11 08 35.374| -0.092|-58 58 30.24|  -0.02| 3.91|F8|CP-58 3189|238813| 96918|
 420|11 09 39.798| -0.604|+44 29 54.60|  -2.77| 3.01|K0|BD+45 1897| 43629| 96833|
 421|11 11 39.492|  0.019|-22 49 33.10| -10.00| 4.48|A2|SD-22 3095|179624| 97277|
1290|11 12 14.808|  0.147|-32 26 01.84|   1.10| 6.35|M0|CD-31 8847|202197| 97393|
1291|11 12 33.078| -0.973|-49 06 03.61|   3.28| 5.36|A2|CD-48 6263|222639| 97495|
 422|11 14 06.495|  1.011|+20 31 25.30| -12.98| 2.56|A3|BD+21 2298| 81727| 97603|ZOSMA
 423|11 14 14.401| -0.420|+15 25 46.36|  -7.86| 3.34|A0|BD+16 2234| 99512| 97633|CHERTAN
1641|11 14 30.135| -3.489|+85 38 24.41|   0.82| 7.34|A2|BD+86  161|  1834| 96571|
1292|11 16 39.704| -0.723|-03 39 05.89|  -3.64| 4.47|A5|SD-02 3315|138102| 98058|
 424|11 16 41.854| -0.856|+49 28 34.59|  -0.93| 5.88|K0|BD+50 1807| 43675| 97989|
 425|11 18 28.738| -0.205|+33 05 39.44|   2.84| 3.48|K0|BD+33 2098| 62486| 98262|ALULA BOREALIS
1293|11 19 07.904| -0.484|+38 11 07.99|  -6.77| 4.78|A2|BD+38 2225| 62491| 98353|
 426|11 19 20.453| -0.844|-14 46 42.83|  20.75| 3.56|K0|BD-13 3345|156605| 98430|
 428|11 21 00.425| -0.408|-54 29 27.82|  -0.56| 3.89|B5|CP-53 4498|238986| 98718|
 427|11 21 08.195| -0.617|+06 01 45.54|  -1.19| 4.05|A0|BD+06 2437|118804| 98664|
 429|11 22 51.250| -0.074|+64 19 49.72|   3.43| 6.02|A0|BD+65  828| 15486| 98772|
1294|11 24 22.064| -0.046|-42 40 08.87|   0.06| 6.12|B3|CD-41 6529|222773| 99171|
 431|11 24 52.924| -0.687|-17 41 02.47|   0.42| 4.08|A5|BD-16 3244|156661| 99211|
1295|11 25 45.736| -0.276|+26 44 50.01|   0.21| 7.31|A2|BD+27 2021| 81819| 99302|
1296|11 26 45.328| -4.834|+03 00 47.05|  18.05| 6.50|K0|BD+03 2502|118864| 99491|
1297|11 27 56.246|  0.122|+02 51 22.35|  -1.16| 4.95|K0|BD+03 2504|118875| 99648|
1298|11 29 37.548| -0.096|-28 01 50.20|   0.03| 6.67|K0|CD-27 8121|179934| 99923|
 432|11 30 31.130| -0.456|+43 10 23.67|   8.33| 5.94|F8|BD+43 2122| 43787| 99984|
 433|11 31 24.248| -0.733|+69 19 51.87|  -1.71| 3.84|M0|BD+70  665| 15532|100029|GIAUSAR
 434|11 33 00.128| -1.619|-31 51 27.51|  -3.95| 3.54|G5|CD-31 9083|202558|100407|
 436|11 35 46.845| -0.606|-63 01 11.32|  -0.49| 3.13|B9|CP-62 2127|251472|100841|
 435|11 35 55.591|  0.356|-47 38 30.02|  -4.95| 5.25|F0|CD-46 7205|222895|100825|
1299|11 36 40.915| -0.411|-09 48 08.16|   0.83| 4.70|B9|SD-08 3202|138296|100889|
 437|11 36 56.936|  0.025|-00 49 25.65|   4.26| 4.30|K0|BD-00 2458|138298|100920|
 438|11 37 15.577| -3.660|-75 53 47.53|   0.13| 5.65|F0|CP-75  744|256857|101132|
 439|11 40 12.794| -0.342|-34 44 40.81|   0.00| 4.70|B8|CD-34 2610|202695|101431|
1300|11 41 03.020| -0.094|+34 12 05.79| -38.10| 5.33|G5|BD+35 2270| 62655|101501|
 440|11 42 28.373| -0.733|+66 44 41.55|   3.82| 5.30|K0|BD+67  714| 15606|101673|
1301|11 44 45.787|  0.220|-18 21 02.73|  -2.97| 4.73|G5|BD-17 3460|156869|102070|
 442|11 45 36.386| -1.730|-66 43 43.47|   3.70| 3.64|A5|CP-66  164|251575|102249|
1302|11 45 51.563| -0.118|+06 31 45.55| -18.39| 4.03|M0|BD+07 2479|119035|102212|
 441|11 46 03.018| -1.361|+47 46 45.90|   2.95| 3.71|K0|BD+48 1966| 43886|102224|
 443|11 46 30.796| -0.368|-61 10 42.23|  -1.52| 4.11|G0|CP-60 3325|251579|102350|
1303|11 47 07.810| -0.497|+61 24 06.72|  -3.93| 6.62|F0|BD+62 1198| 15631|102355|
1304|11 47 59.128| -1.057|+20 13 08.12|  -0.33| 4.53|F8|BD+21 2358| 81998|102509|
1305|11 48 45.095| -0.238|-26 44 59.32|  -0.97| 5.11|M3|CD-26 8789|180208|102620|
 444|11 49 03.580| -3.422|+14 34 19.35| -11.41| 2.14|A2|BD+15 2383| 99809|102647|DENEBOLA
 445|11 50 41.722|  4.954|+01 45 52.86| -27.11| 3.61|F8|BD+02 2489|119076|102870|ZAVIJAVA
1306|11 51 02.239|  0.019|-05 20 00.18|  -0.04| 5.64|K0|SD-04 3152|138445|102928|
 446|11 51 08.698| -0.666|-45 10 24.73|  -0.99| 4.46|K0|CD-44 2614|223062|102964|
1307|11 52 58.767| 33.736|+37 43 07.35|-581.30| 6.45|G5|BD+38 2285| 62738|103095|GROOMBRIDGE 1830
 447|11 53 49.836|  1.073|+53 41 41.13|   1.17| 2.44|A0|BD+54 1475| 28179|103287|PHECDA
1308|11 55 40.532|  0.063|+15 38 48.41|   0.24| 5.53|A2|BD+16 2319| 99869|103578|
1309|11 56 00.949| -0.355|-17 09 03.02|  -0.62| 5.18|A0|BD-16 3358|156988|103632|
1310|11 58 07.175| -0.858|+32 16 26.09|  -6.00| 6.42|F0|BD+33 2174| 62774|103928|
1311|12 00 52.391|  0.005|+06 36 51.43|  -3.00| 4.66|A3|BD+07 2502|119164|104321|
 449|12 03 39.588|  2.989|-42 26 02.81| -11.44| 5.15|F0|CD-41 6938|223193|104731|
1642|12 04 28.100| -4.890|+85 35 13.66|   9.18| 6.27|F5|BD+86  176|  1975|104904|
 450|12 05 12.537| -1.484|+08 43 58.58|   4.64| 4.12|G5|BD+09 2583|119213|104979|
 451|12 05 15.115|  4.313|+76 54 20.56|  -9.11| 5.80|K0|BD+77  461|  7500|104985|
1312|12 05 56.674| -0.255|-35 41 38.34|  -0.20| 6.23|B9|CD-35 7694|203119|105078|
 452|12 08 21.515| -0.357|-50 43 20.74|  -0.84| 2.60|B3|CD-50 6697|239689|105435|
 453|12 10 07.485| -0.512|-22 37 11.15|   1.35| 3.00|K0|SD-21 3487|180531|105707|
1313|12 10 31.625| -0.118|+16 48 33.29|   0.08| 6.39|A0|BD+17 2446| 99973|105778|
 454|12 12 11.917|  0.296|+77 36 58.51|   2.18| 5.14|A5|BD+78  412|  7522|106112|
1314|12 14 43.423| -0.210|+53 26 04.76|  -1.49| 6.16|K0|BD+54 1504| 28309|106478|
 455|12 15 08.683| -0.529|-58 44 56.08|  -0.89| 2.80|B3|CP-58 4189|239791|106490|
 456|12 15 25.560|  1.270|+57 01 57.42|   0.94| 3.31|A2|BD+57 1363| 28315|106591|MEGREZ
 457|12 15 48.366| -1.124|-17 32 30.97|   2.33| 2.59|B8|BD-16 3424|157176|106625|GIENAH
 458|12 16 07.551|  0.147|+40 39 36.63|  -3.17| 5.66|K5|BD+41 2284| 44097|106690|
 459|12 18 20.709| -1.724|-79 18 43.93|   1.75| 4.26|B5|CP-78  741|256924|106911|
1315|12 19 20.198|  0.025|-08 54 52.93|  -2.30| 6.84|K0|SD-08 3323|138716|107161|
1316|12 19 48.721| -0.121|+48 59 02.93|   0.68| 5.29|K2|BD+49 2130| 44127|107274|
 460|12 19 54.358| -0.419|-00 40 00.51|  -1.81| 3.89|A0|BD+00 2926|138721|107259|ZANIAH
1317|12 20 20.985| -1.951|+03 18 45.05|  -6.54| 4.96|K0|BD+04 2604|119341|107328|
1318|12 22 30.314| -0.083|+25 50 46.08|  -0.93| 4.79|F5|BD+26 2337| 82273|107700|
1319|12 25 18.423|  0.037|-27 44 56.60|  -0.08| 6.09|K0|CD-27 8670|180786|108110|
 461|12 25 50.937| -0.672|+39 01 06.99|  -3.19| 5.02|K0|BD+39 2521| 63000|108225|
 462|12 26 35.871| -0.524|-63 05 56.58|  -1.21| 1.33|B1|CP-62 2745|251904|108248|ACRUX
 463|12 26 51.696| -0.041|-32 49 48.41|  -2.67| 5.55|A0|CD-32 8713|203477|108323|
 464|12 28 02.389| -0.316|-50 13 50.47|  -1.47| 3.91|B3|CD-49 7115|223454|108483|
1320|12 28 22.467| -0.199|-39 02 28.68|  -1.71| 5.44|B8|CD-38 7753|203508|108541|
 466|12 29 43.233|  0.173|+20 53 45.90|  -3.20| 5.69|A2|BD+21 2424| 82336|108765|
 465|12 29 51.855| -1.460|-16 30 55.57| -13.80| 2.95|A0|BD-15 3482|157323|108767|ALGORAB
 467|12 29 57.334| -0.786|+58 24 20.71|   9.14| 5.35|A5|BD+59 1444| 28405|108844|
 468|12 31 09.929|  0.285|-57 06 47.50| -26.23| 1.63|M3|CP-56 5272|240019|108903|GACRUX
 469|12 32 27.960| -1.256|-72 07 58.64|  -0.22| 3.87|B5|CP-71 1336|256955|109026|
 472|12 33 28.952| -1.130|+69 47 17.62|   1.19| 3.87|B5|BD+70  703|  7593|109387|
1321|12 33 34.261| -0.109|-12 49 48.77|   5.25| 5.58|G5|BD-12 3659|157361|109272|
1322|12 33 38.914|  0.161|+33 14 51.20|  -3.26| 5.42|K0|BD+34 2332| 63070|109317|
 470|12 33 44.545| -6.259|+41 21 26.89|  29.24| 4.26|G0|BD+42 2321| 44230|109358|CHARA
 471|12 34 23.238|  0.016|-23 23 48.31|  -5.39| 2.65|G5|SD-22 3401|180915|109379|
1323|12 34 51.066| -0.473|+22 37 45.18|   2.14| 4.81|A0|BD+23 2475| 82390|109485|
 473|12 35 07.751| -0.039|+18 22 37.33|   2.31| 5.02|K0|BD+19 2584|100160|109511|
1324|12 36 47.355| -0.190|-05 49 54.83|  -1.82| 5.87|A0|SD-05 3535|138873|109704|
 474|12 37 10.958| -0.897|-69 08 07.96|  -1.26| 2.69|B3|CP-68 1702|251974|109668|
 475|12 39 14.773| -0.511|-07 59 44.23|  -2.47| 4.66|K0|SD-07 3452|138892|110014|
1325|12 41 22.993| -0.664|-46 08 44.25|   5.67| 5.84|K0|CD-45 7944|223601|110287|
 478|12 41 33.903| -0.464|+62 42 46.88|  -1.69| 6.07|A0|BD+63 1026| 15871|110462|
1326|12 41 53.062|  0.566|+10 14 08.14|  -9.05| 4.88|A0|BD+11 2485|100211|110411|
 479|12 44 00.537| -0.205|-28 19 26.28|  -3.79| 5.48|K2|CD-27 8832|181063|110666|
1327|12 45 07.839| -0.007|+45 26 24.98|   1.50| 4.99|N3|BD+46 1817| 44317|110914|Y CVN
1328|12 45 37.062| -0.721|+07 40 23.83|   0.38| 5.22|A5|BD+08 2639|119574|110951|
 481|12 47 43.237| -0.631|-59 41 19.46|  -1.36| 1.25|B1|CP-59 4451|240259|111123|
1330|12 47 51.418| -0.043|+03 34 21.67|  -0.27| 6.41|M0|BD+04 2653|119596|111239|
1329|12 47 53.655| -0.300|-24 51 05.94|   4.02| 6.44|B9|CD-2410540|181105|111226|
1331|12 50 41.175| -0.227|-33 59 57.66|  -2.02| 4.91|A0|CD-33 8653|203863|111597|
1332|12 51 41.920| -0.093|+27 32 26.48|  -0.83| 4.94|G0|BD+28 2156| 82537|111812|
1333|12 52 12.251|  0.005|+17 04 26.04|  -0.69| 6.32|K5|BD+17 2551|100309|111862|
 482|12 53 26.180|  0.549|-40 10 44.15|  -2.23| 4.27|A5|CD-39 7893|203907|111968|
1334|12 54 00.285| -0.228|-18 02 15.56|   0.29| 6.80|A0|BD-17 3726|157580|112074|
 483|12 54 01.748|  1.328|+55 57 35.47|  -0.58| 1.77|A0|BD+56 1627| 28553|112185|ALIOTH
1335|12 54 21.163| -0.165|-09 32 20.28|  -1.54| 4.79|M3|SD-08 3449|139033|112142|
 919|12 54 58.614|  4.875|-85 07 24.08|   2.79| 5.46|K0|CP-84  407|258654|111482|
 486|12 55 28.543| -0.075|+65 26 18.50|  -2.90| 5.24|F0|BD+66  778| 15941|112429|
 484|12 55 36.213| -3.129|+03 23 50.75|  -5.39| 3.38|M0|BD+04 2669|119674|112300|
 485|12 56 01.664| -1.987|+38 19 06.21|   5.65| 2.90|A0|BD+39 2580| 63257|112413|COR CAROLI
1336|12 59 39.527| -0.244|-03 48 42.97|   0.80| 5.79|A0|SD-03 3384|139086|112846|
 488|13 02 10.602| -1.854|+10 57 32.88|   2.00| 2.83|K0|BD+11 2529|100384|113226|VINDEMIATRIX
 487|13 02 16.217|  5.401|-71 32 55.88|  -2.09| 3.62|K2|CP-70 1548|257000|112985|
1337|13 05 44.450| -0.250|+35 47 56.05|   2.09| 5.25|B9|BD+36 2337| 63338|113797|
1338|13 05 52.278| -0.116|+45 16 06.84|   2.76| 5.63|K0|BD+46 1847| 44465|113847|
1339|13 06 21.229| -0.491|+21 09 12.31|  -4.56| 5.99|F5|BD+21 2487| 82650|113848|
 489|13 06 54.639| -0.271|-49 54 22.49|  -1.16| 4.27|B3|CD-49 7644|223909|113791|
1340|13 07 38.272| -0.442|-53 27 35.38|  -2.36| 5.71|B9|CP-52 6194|240573|113902|
 490|13 09 56.999| -0.212|-05 32 20.42|  -3.26| 4.38|A0|SD-04 3430|139189|114330|
 491|13 10 03.215| -0.596|+38 29 56.27|   4.44| 5.91|F0|BD+39 2614| 63380|114447|
1341|13 11 39.213| -0.508|-26 33 06.18|   0.42| 6.50|A3|CD-25 9653|181446|114576|
 492|13 11 52.395| -6.042|+27 52 41.40|  88.17| 4.26|G0|BD+28 2193| 82706|114710|
 493|13 15 14.890| -0.733|-67 53 40.47|  -0.85| 4.80|B8|CP-67 2224|252224|114911|
1342|13 16 53.143|  0.269|-31 30 22.40|  -4.81| 5.10|K0|CD-3010457|204312|115310|
1343|13 17 13.924|  0.003|-43 58 46.09|  -0.85| 5.84|A3|CD-43 8165|224032|115331|
 494|13 17 32.542| -1.101|+40 34 21.45|   2.07| 4.73|F0|BD+41 2380| 44549|115604|
1344|13 17 36.288| -0.035|+05 28 11.45|   1.33| 4.80|M0|BD+06 2722|119855|115521|
1345|13 18 24.314| -7.512|-18 18 40.57|-106.54| 4.74|G5|BD-17 3813|157844|115617|
 495|13 18 55.293|  0.467|-23 10 17.66|  -4.47| 3.00|G5|SD-22 3554|181543|115659|
1346|13 20 18.952| -0.509|+40 09 02.02|  -0.21| 5.60|K0|BD+40 2647| 44570|116010|
 496|13 20 35.822| -2.833|-36 42 44.32|  -8.53| 2.75|A2|CD-36 8492|204371|115892|
1347|13 22 37.900| -0.533|-60 59 18.03|  -1.44| 4.53|B5|CP-60 4627|252284|116087|
 497|13 23 55.539|  1.411|+54 55 31.38|  -2.00| 2.27|A2|BD+55 1598| 28737|116656|MIZAR
 498|13 25 11.587| -0.278|-11 09 40.71|  -2.83| 0.98|B2|BD-10 3672|157923|116658|SPICA
 499|13 26 08.064|  0.480|+72 23 29.27|  -0.95| 5.79|K5|BD+73  592|  7814|117187|
1348|13 26 43.168| -0.886|-12 42 27.71|  -2.00| 5.25|K2|BD-11 3516|157938|116870|
1350|13 28 18.761|  0.024|+31 08 57.20|   0.07| 6.92|K2|BD+31 2493| 63556|117203|
1349|13 28 25.809| -1.619|+13 46 43.50| -57.68| 4.98|G0|BD+14 2621|100582|117176|
 500|13 28 27.081| -1.064|+59 56 44.88|   3.68| 5.40|A0|BD+60 1461| 16080|117376|
1351|13 34 07.932|  0.296|+03 39 32.12|  -2.37| 4.94|A2|BD+04 2764|120004|118022|
 501|13 34 41.585| -1.899|-00 35 45.39|   4.21| 3.37|A2|BD+00 3076|139420|118098|
 502|13 34 47.808|  0.717|+37 10 56.69|  -0.89| 4.98|F0|BD+37 2426| 63623|118216|
1353|13 35 14.103| -0.145|+44 11 49.49|   1.53| 6.84|A5|BD+44 2285| 44675|118295|
1352|13 35 31.298|  0.112|-05 23 46.30|   8.46| 5.73|K0|SD-04 3515|139428|118219|
 505|13 37 10.974| -0.791|+71 14 32.05|  -0.60| 5.50|K0|BD+71  659|  7854|118904|
 503|13 39 11.906| -0.735|-75 41 01.58|  -0.60| 6.34|A0|CP-75  882|257069|118285|
 504|13 39 53.246| -0.318|-53 27 58.99|  -1.65| 2.30|B1|CP-52 6655|241047|118716|
1665|13 40 55.460| -8.209|-85 47 09.66|  -1.83| 5.58|A2|CP-85  384|258674|117374|
1354|13 41 30.867| -0.064|-23 26 59.25|   0.29| 6.59|A0|SD-22 3645|181863|119086|
1355|13 41 36.775| -0.636|-08 42 10.93|   4.00| 5.01|M0|SD-07 3674|139490|119149|
1643|13 42 23.092|  1.831|+82 45 08.62|  -4.12| 5.98|G5|BD+83  397|  2266|120565|
1356|13 42 56.090| -0.134|-56 46 04.79|  -0.36| 6.00|B2|CP-56 5891|241096|119159|
1357|13 44 29.828|  0.087|-16 10 44.75|  -0.45| 5.60|G0|BD-15 3731|158131|119605|
 506|13 45 41.247| -3.671|-33 02 37.56| -14.61| 4.23|F5|CD-32 2603|204812|119756|
1358|13 46 43.316| -0.150|+25 42 07.87|  -6.06| 5.95|F5|BD+26 2494| 82993|120064|
 507|13 47 15.740| -3.365|+17 27 24.43|   4.08| 4.50|F5|BD+18 2782|100706|120136|
 509|13 47 32.434| -1.249|+49 18 47.95|  -1.09| 1.86|B3|BD+50 2027| 44752|120315|ALKAID
 508|13 49 36.993| -0.209|-42 28 25.53|  -1.99| 3.04|B2|CD-41 8172|224471|120324|
1359|13 49 44.164| -0.164|+08 24 30.92|   0.96| 6.59|A0|BD+09 2814|120130|120500|
 510|13 49 52.287| -0.703|-18 08 03.11|  -3.76| 4.97|K0|BD-17 3937|158186|120452|
 511|13 51 25.921|  0.008|+64 43 23.75|  -0.23| 4.65|M0|BD+65  963| 16199|121130|
 513|13 54 41.074| -0.440|+18 23 51.72| -35.83| 2.68|G0|BD+19 2725|100766|121370|MUPHRID
 512|13 55 32.388| -0.557|-47 17 18.12|  -4.24| 2.55|B2|CD-46 8949|224538|121263|
1360|13 56 10.460| -0.925|+32 01 57.31|   4.76| 6.32|F2|BD+32 2411| 63837|121682|
 514|13 57 38.861| -0.665|-63 41 11.98|  -2.98| 4.71|K0|CP-63 3070|252531|121474|
 515|13 58 31.149| -0.363|-24 58 20.08|  -2.94| 5.21|B8|CD-2411202|182134|121847|
1362|13 59 49.282| -0.170|-03 32 59.31|  -5.76| 6.40|F5|SD-02 3768|139666|122106|
1361|14 00 00.120| -1.439|-25 00 37.49|  -9.12| 5.77|F0|CD-2411215|182152|122066|
 517|14 01 10.477| -0.603|+27 23 11.56|   1.71| 6.23|A3|BD+28 2287| 83130|122405|
 516|14 01 38.797|  0.123|+01 32 40.24|  -2.12| 4.26|A2|BD+02 2761|120238|122408|
1364|14 03 27.465| -0.303|-41 25 24.15|  -1.72| 6.11|A0|CD-40 8373|224641|122532|
 518|14 03 49.408| -0.426|-60 22 22.79|  -1.93| 0.61|B1|CP-59 5365|252582|122451|
 521|14 04 23.341| -0.842|+64 22 33.05|   1.83| 3.65|A0|BD+65  978| 16273|123299|THUBAN
1365|14 04 26.981| -0.247|-14 58 18.24|  -1.87| 6.34|K0|BD-14 3863|158325|122837|
1363|14 05 19.825| -2.736|-76 47 48.38|  -3.24| 5.48|M3|CP-76  799|257112|122250|
1366|14 06 17.780|  0.007|-08 53 29.84|   2.08| 6.53|A0|SD-08 3696|139732|122177|
 519|14 06 22.300|  0.328|-26 40 56.52| -13.89| 3.27|K0|CD-2610095|182244|123123|
1367|14 06 26.869|  0.118|+38 25 03.18|  -0.12| 7.97|K0|BD+39 2720|      |      |
 520|14 06 40.951| -4.293|-36 22 12.03| -51.90| 2.06|K0|CD-35 9260|205188|123139|MENKENT
1368|14 07 55.753|  0.103|+43 51 16.12|  -2.78| 5.27|M3|BD+44 2325| 44901|123657|
 524|14 08 50.905| -0.979|+77 32 50.98|   3.38| 4.82|K0|BD+78  478|  7958|124547|
 522|14 10 23.938| -0.164|+25 05 29.89|  -6.09| 4.83|F5|BD+25 2737| 83203|123999|
